symbol
AAPL
ADBE
ALL
AMC
AMT
AMZN
ANET
APH
ASML
AVGO
AXP
BA
BABA
BAC
BBY
BK
BLDR
BMY
BRK.B
BRO
BSX
BWA
BX
C
CAG
CAT
CB
CCI
CCL
CDNS
CF
CFG
CHD
CHRW
CL
CMCSA
CME
CMG
CNC
CNP
COF
COP
COST
CPB
CPRT
CRM
CSCO
CSGP
CSX
CTSH
CVS
CVX
CZR
D
DECK
DG
DHI
DHR
DIS
DLTR
DVN
EA
EBAY
EMR
EOG
EQR
EQT
ES
ETSY
EW
EXC
F
FANG
FAST
FCX
FDX
FIS
FITB
FOXA
FTNT
GE
GILD
GIS
GLW
GM
GOOG
GOOGL
HBAN
HD
HOG
HOLX
HON
HPE
HPQ
IBM
ICE
INTC
INTU
IP
IPG
IVZ
JBL
JD
JNJ
JPM
KEY
KO
KR
LEN
LLY
LRCX
LULU
LVS
MA
MCD
MCHP
MDLZ
MDT
MGM
MO
MOS
MRK
MS
MSFT
MSTR
MTCH
MU
NDAQ
NEE
NEM
NFLX
NI
NKE
O
OKE
ORCL
ORLY
OXY
PANW
PCAR
PCG
PEP
PFG
PG
PGR
PLD
PM
PPG
PPL
PYPL
QCOM
QRVO
SBUX
SCHW
SHW
SJM
SLB
SNPS
SO
SRE
SYF
T
TAP
TEL
TER
TGT
TJX
TSCO
TSLA
TSM
TSN
TXN
UAL
UDR
ULTA
UNH
UNP
UPS
USB
V
VLO
VRTX
VTR
VZ
WFC
WHR
WIX
WMB
WMT
WRB
WY
XEL
XOM
XYL
ZTS
